image_path,folder_name,class_index,organism,imaging_type,standardized_class_name,filename
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_34.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_34.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_36.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_36.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_22.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_22.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_23.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_23.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_37.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_37.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_2.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_2.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_3.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_3.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_7.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_7.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_6.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_6.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_4.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_4.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_5.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_5.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_48.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_48.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_13.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_13.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_12.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_12.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_11.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_11.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_29.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_29.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_15.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_15.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_14.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_14.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_16.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_16.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_17.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_17.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_32.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_32.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_26.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_26.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_25.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_25.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_31.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_31.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_18.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_18.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_30.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_30.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_24.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_24.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_20.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_20.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_21.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_21.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_22.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_22.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_36.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_36.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_45.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_45.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_8.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_8.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_9.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_9.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_46.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_46.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_47.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_47.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_43.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_43.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_42.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_42.png
Bacteria dataset/Aspergillosis niger_media plate/Aspergillosis niger_media plate_40.png,Aspergillosis niger_media plate,1,Aspergillus niger,media plate,Aspergillus niger_media plate,Aspergillosis niger_media plate_40.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_21.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_21.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_20.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_20.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_22.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_22.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_23.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_23.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_27.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_27.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_30.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_30.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_24.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_24.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_18.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_18.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_19.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_19.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_25.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_25.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_1.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_1.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_2.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_2.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_3.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_3.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_7.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_7.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_6.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_6.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_5.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_5.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_8.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_8.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_9.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_9.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_28.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_28.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_14.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_14.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_15.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_15.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_29.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_29.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_17.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_17.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_16.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_16.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_12.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_12.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_13.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_13.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_11.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_11.png
Bacteria dataset/Bacillus subtilis_gram stain/Bacillus subtilis_gram stain_10.png,Bacillus subtilis_gram stain,2,Bacillus subtilis,gram stain,Bacillus subtilis_gram stain,Bacillus subtilis_gram stain_10.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_51.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_51.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_44.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_44.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_50.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_50.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_52.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_52.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_43.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_43.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_54.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_54.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_40.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_40.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_32.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_32.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_26.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_26.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_27.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_27.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_19.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_19.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_25.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_25.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_20.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_20.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_34.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_34.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_35.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_35.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_9.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_9.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_4.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_4.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_5.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_5.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_38.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_38.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_10.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_10.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_7.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_7.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_6.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_6.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_15.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_15.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_29.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_29.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_3.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_3.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_16.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_16.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_1.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_1.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_17.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_17.png
Bacteria dataset/Bacillus subtilis_media plate/Bacillus subtilis_media plate_49.png,Bacillus subtilis_media plate,3,Bacillus subtilis,media plate,Bacillus subtilis_media plate,Bacillus subtilis_media plate_49.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_21.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_21.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_36.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_36.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_37.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_37.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_8.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_8.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_33.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_33.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_27.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_27.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_26.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_26.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_32.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_32.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_18.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_18.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_24.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_24.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_19.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_19.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_42.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_42.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_41.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_41.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_40.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_40.png
Bacteria dataset/Candida albicans_gram stain/Candida albicans_gram stain_44.png,Candida albicans_gram stain,4,Candida albicans,gram stain,Candida albicans_gram stain,Candida albicans_gram stain_44.png
